Time,Rep,PopSizeF,PopSizeM,PopSizeM_Maj,PopSizeM_Min,PopSizeM_Juv,PopSize,CurrentEnv,avg_env,avg_thr,avg_res,avg_condition,avg_majM_condition,avg_minM_condition,avg_juvM_condition,avg_F_condition,avg_majM_display,iniT,MRate,MStdDev,Extinction
324,0,0,2,2,0,0,2,1.9443,0.997968,0,0.982756,0.0364253,0.0364253,-nan,-nan,-nan,0.0364253,0,0.02,0.03,1
321,1,0,4,4,0,0,4,1.92098,1.00222,0,0.952656,0.0338929,0.0338929,-nan,-nan,-nan,0.0338929,0,0.02,0.03,1
308,2,3,0,0,0,0,3,1.9209,1.00395,0,0.961628,0.0446697,-nan,-nan,-nan,0.0446697,-nan,0,0.02,0.03,1
319,3,0,0,0,0,0,0,1.97084,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,0.02,0.03,1
326,4,0,2,2,0,0,2,1.93617,1.01185,0,0.983833,0.0595229,0.0595229,-nan,-nan,-nan,0.0595229,0,0.02,0.03,1
300,5,1,0,0,0,0,1,1.94376,0.996356,0,0.997044,0.0496387,-nan,-nan,-nan,0.0496387,-nan,0,0.02,0.03,1
308,6,4,0,0,0,0,4,1.94741,1.01849,0,0.95977,0.0308515,-nan,-nan,-nan,0.0308515,-nan,0,0.02,0.03,1
319,7,0,1,1,0,0,1,1.98935,1.00445,0,0.999902,0.0150015,0.0150015,-nan,-nan,-nan,0.0150015,0,0.02,0.03,1
307,8,3,0,0,0,0,3,1.97844,1.0222,0,0.982054,0.0258213,-nan,-nan,-nan,0.0258213,-nan,0,0.02,0.03,1
309,9,0,1,1,0,0,1,1.95723,1.01242,0,0.945949,0.00113475,0.00113475,-nan,-nan,-nan,0.00113475,0,0.02,0.03,1
292,10,2,0,0,0,0,2,1.9345,1.00962,0,0.964323,0.0394386,-nan,-nan,-nan,0.0394386,-nan,0,0.02,0.03,1
317,11,0,1,1,0,0,1,1.97783,0.998049,0,0.984265,0.00448959,0.00448959,-nan,-nan,-nan,0.00448959,0,0.02,0.03,1
309,12,2,0,0,0,0,2,1.94428,1.00701,0,0.96839,0.0311228,-nan,-nan,-nan,0.0311228,-nan,0,0.02,0.03,1
299,13,0,1,1,0,0,1,1.93811,0.989369,0,0.969839,0.0210965,0.0210965,-nan,-nan,-nan,0.0210965,0,0.02,0.03,1
298,14,0,1,1,0,0,1,1.94908,0.997702,0,0.95507,0.0036908,0.0036908,-nan,-nan,-nan,0.0036908,0,0.02,0.03,1
306,15,1,0,0,0,0,1,1.93384,0.999829,0,0.95682,0.0228137,-nan,-nan,-nan,0.0228137,-nan,0,0.02,0.03,1
307,16,0,1,1,0,0,1,1.97541,1.01909,0,0.964641,0.00831392,0.00831392,-nan,-nan,-nan,0.00831392,0,0.02,0.03,1
309,17,0,1,1,0,0,1,1.93729,0.994788,0,0.945694,0.00318876,0.00318876,-nan,-nan,-nan,0.00318876,0,0.02,0.03,1
308,18,3,0,0,0,0,3,1.97429,1.01876,0,0.98422,0.0286881,-nan,-nan,-nan,0.0286881,-nan,0,0.02,0.03,1
324,19,1,0,0,0,0,1,1.96126,1.00253,0,0.981769,0.0230364,-nan,-nan,-nan,0.0230364,-nan,0,0.02,0.03,1
326,20,0,1,1,0,0,1,1.96196,1.01543,0,0.986457,0.0399317,0.0399317,-nan,-nan,-nan,0.0399317,0,0.02,0.03,1
282,21,1,0,0,0,0,1,1.94989,1.01269,0,0.981104,0.0439047,-nan,-nan,-nan,0.0439047,-nan,0,0.02,0.03,1
